Institution,Year,Month,Use of Force,Inmate Count
CAC,2020,Jan,-,2140
CCI,2020,Jan,-,3700
COR,2020,Jan,-,3042
HDSP,2020,Jan,-,3161
KVSP,2020,Jan,-,3553
LAC,2020,Jan,-,3219
PBSP,2020,Jan,-,2648
SAC,2020,Jan,-,2354
SATF,2020,Jan,-,5296
SVSP,2020,Jan,-,2921
CAC,2021,Jan,6,1991
CCI,2021,Jan,18,2929
COR,2021,Jan,9,2917
HDSP,2021,Jan,21,3296
KVSP,2021,Jan,45,3629
LAC,2021,Jan,20,2680
PBSP,2021,Jan,9,2191
SAC,2021,Jan,37,2233
SATF,2021,Jan,16,4323
SVSP,2021,Jan,35,2885
CAC,2020,Feb,-,2113
CCI,2020,Feb,-,3659
COR,2020,Feb,-,2915
HDSP,2020,Feb,-,3255
KVSP,2020,Feb,-,3512
LAC,2020,Feb,-,3200
PBSP,2020,Feb,-,2628
SAC,2020,Feb,-,2425
SATF,2020,Feb,-,5297
SVSP,2020,Feb,-,2957
CAC,2021,Feb,2,1919
CCI,2021,Feb,21,2912
COR,2021,Feb,17,2962
HDSP,2021,Feb,22,3290
KVSP,2021,Feb,39,3630
LAC,2021,Feb,20,2664
PBSP,2021,Feb,10,2182
SAC,2021,Feb,46,2233
SATF,2021,Feb,19,4444
SVSP,2021,Feb,61,2976
CAC,2020,Mar,-,2070
CCI,2020,Mar,-,3666
COR,2020,Mar,-,2819
HDSP,2020,Mar,-,3352
KVSP,2020,Mar,-,3602
LAC,2020,Mar,-,3220
PBSP,2020,Mar,-,2677
SAC,2020,Mar,-,2417
SATF,2020,Mar,-,5278
SVSP,2020,Mar,-,2930
CAC,2021,Mar,4,1840
CCI,2021,Mar,24,2898
COR,2021,Mar,16,3011
HDSP,2021,Mar,28,3293
KVSP,2021,Mar,43,3637
LAC,2021,Mar,23,2665
PBSP,2021,Mar,14,2154
SAC,2021,Mar,45,2232
SATF,2021,Mar,14,4511
SVSP,2021,Mar,66,3038
CAC,2020,Apr,-,2081
CCI,2020,Apr,-,3516
COR,2020,Apr,-,3719
HDSP,2020,Apr,-,3286
KVSP,2020,Apr,-,3534
LAC,2020,Apr,-,3158
PBSP,2020,Apr,-,2608
SAC,2020,Apr,-,2363
SATF,2020,Apr,-,4844
SVSP,2020,Apr,-,2877
CAC,2021,Apr,10,1987
CCI,2021,Apr,20,2957
COR,2021,Apr,22,3079
HDSP,2021,Apr,34,3303
KVSP,2021,Apr,31,3584
LAC,2021,Apr,24,2721
PBSP,2021,Apr,3,2135
SAC,2021,Apr,43,2217
SATF,2021,Apr,14,4653
SVSP,2021,Apr,64,3048
CAC,2020,May,-,2201
CCI,2020,May,-,3655
COR,2020,May,-,3741
HDSP,2020,May,-,3453
KVSP,2020,May,-,3645
LAC,2020,May,-,3149
PBSP,2020,May,-,2578
SAC,2020,May,-,2346
SATF,2020,May,-,4845
SVSP,2020,May,-,2904
CAC,2021,May,2,2001
CCI,2021,May,27,2952
COR,2021,May,27,3136
HDSP,2021,May,38,3262
KVSP,2021,May,27,3497
LAC,2021,May,30,2753
PBSP,2021,May,17,2091
SAC,2021,May,58,2197
SATF,2021,May,16,4790
SVSP,2021,May,63,3021
CAC,2020,Jun,-,2160
CCI,2020,Jun,-,3715
COR,2020,Jun,-,3572
HDSP,2020,Jun,-,3572
KVSP,2020,Jun,-,3700
LAC,2020,Jun,-,3101
PBSP,2020,Jun,-,2524
SAC,2020,Jun,-,2363
SATF,2020,Jun,-,4836
SVSP,2020,Jun,-,2896
CAC,2021,Jun,2,2088
CCI,2021,Jun,22,2985
COR,2021,Jun,19,3259
HDSP,2021,Jun,32,3285
KVSP,2021,Jun,32,3447
LAC,2021,Jun,19,2729
PBSP,2021,Jun,7,2112
SAC,2021,Jun,43,2135
SATF,2021,Jun,18,4969
SVSP,2021,Jun,61,3009
CAC,2020,Jul,-,2092
CCI,2020,Jul,-,3445
COR,2020,Jul,-,3453
HDSP,2020,Jul,-,3461
KVSP,2020,Jul,-,3580
LAC,2020,Jul,-,3068
PBSP,2020,Jul,-,2432
SAC,2020,Jul,-,2316
SATF,2020,Jul,-,4674
SVSP,2020,Jul,-,2817
CAC,2021,Jul,9,2054
CCI,2021,Jul,22,2842
COR,2021,Jul,16,3241
HDSP,2021,Jul,19,3222
KVSP,2021,Jul,33,3426
LAC,2021,Jul,45,2696
PBSP,2021,Jul,16,2127
SAC,2021,Jul,42,2077
SATF,2021,Jul,18,5058
SVSP,2021,Jul,65,3006
CAC,2020,Aug,-,2235
CCI,2020,Aug,-,3313
COR,2020,Aug,-,3314
HDSP,2020,Aug,-,3349
KVSP,2020,Aug,-,3520
LAC,2020,Aug,-,3016
PBSP,2020,Aug,-,2380
SAC,2020,Aug,-,2250
SATF,2020,Aug,-,4531
SVSP,2020,Aug,-,2754
CAC,2021,Aug,6,2113
CCI,2021,Aug,26,2786
COR,2021,Aug,18,3380
HDSP,2021,Aug,21,3233
KVSP,2021,Aug,32,3438
LAC,2021,Aug,28,2705
PBSP,2021,Aug,4,2121
SAC,2021,Aug,39,2077
SATF,2021,Aug,25,5030
SVSP,2021,Aug,63,2997
CAC,2020,Sep,-,2188
CCI,2020,Sep,-,3103
COR,2020,Sep,-,3234
HDSP,2020,Sep,-,3352
KVSP,2020,Sep,-,3515
LAC,2020,Sep,-,2959
PBSP,2020,Sep,-,2317
SAC,2020,Sep,-,2243
SATF,2020,Sep,-,4442
SVSP,2020,Sep,-,2759
CAC,2021,Sep,4,2119
CCI,2021,Sep,23,2694
COR,2021,Sep,32,3433
HDSP,2021,Sep,23,3208
KVSP,2021,Sep,23,3414
LAC,2021,Sep,40,2748
PBSP,2021,Sep,8,2087
SAC,2021,Sep,38,2013
SATF,2021,Sep,22,5007
SVSP,2021,Sep,44,2978
CAC,2020,Oct,-,2151
CCI,2020,Oct,-,3000
COR,2020,Oct,-,2958
HDSP,2020,Oct,-,3342
KVSP,2020,Oct,-,3623
LAC,2020,Oct,-,2805
PBSP,2020,Oct,-,2290
SAC,2020,Oct,-,2246
SATF,2020,Oct,-,4446
SVSP,2020,Oct,-,2799
CAC,2021,Oct,11,2091
CCI,2021,Oct,15,2654
COR,2021,Oct,22,3492
HDSP,2021,Oct,31,3193
KVSP,2021,Oct,16,3410
LAC,2021,Oct,46,2755
PBSP,2021,Oct,13,2044
SAC,2021,Oct,51,2005
SATF,2021,Oct,29,5015
SVSP,2021,Oct,78,2944
CAC,2020,Nov,-,2082
CCI,2020,Nov,-,2983
COR,2020,Nov,-,2970
HDSP,2020,Nov,-,3338
KVSP,2020,Nov,-,3643
LAC,2020,Nov,-,2739
PBSP,2020,Nov,-,2243
SAC,2020,Nov,-,2249
SATF,2020,Nov,-,4377
SVSP,2020,Nov,-,2819
CAC,2021,Nov,6,2130
CCI,2021,Nov,24,2677
COR,2021,Nov,17,3625
HDSP,2021,Nov,34,2949
KVSP,2021,Nov,24,3385
LAC,2021,Nov,41,2732
PBSP,2021,Nov,12,2024
SAC,2021,Nov,64,1991
SATF,2021,Nov,24,5005
SVSP,2021,Nov,49,2982
CAC,2020,Dec,-,2015
CCI,2020,Dec,-,2914
COR,2020,Dec,-,2918
HDSP,2020,Dec,-,3302
KVSP,2020,Dec,-,3617
LAC,2020,Dec,-,2704
PBSP,2020,Dec,-,2209
SAC,2020,Dec,-,2227
SATF,2020,Dec,-,4315
SVSP,2020,Dec,-,2802
CAC,2021,Dec,1,2154
CCI,2021,Dec,39,3073
COR,2021,Dec,35,3615
HDSP,2021,Dec,16,2317
KVSP,2021,Dec,26,3363
LAC,2021,Dec,41,2771
PBSP,2021,Dec,11,1985
SAC,2021,Dec,44,1908
SATF,2021,Dec,19,4958
SVSP,2021,Dec,56,3003
